Order ID,Order Date,Customer ID,Customer Name,Segment,Region,Category,Product Name,Quantity,Discount,Sales,Profit,Ship Mode
NC-03470,2023-01-08,CUST-0552,Chai Chaiyaporn,Home Office,Northern,Office Supplies,Desk Organizer,1,0.05,275.5,64.42,Standard
NC-00052,2023-01-10,CUST-0393,Anan Thongdee,Consumer,Northeastern,Office Supplies,Notebook Set,1,0.05,114.0,27.89,Same Day
NC-00949,2023-01-14,CUST-0495,Theerapat Kittisak,Consumer,Central,Office Supplies,Desk Organizer,1,0.0,290.0,128.31,Standard
NC-02367,2023-01-14,CUST-0230,Mali Wongsa,Corporate,Northeastern,Electronics,Smartphone,1,0.2,7120.0,456.91,Standard
NC-00319,2023-01-16,CUST-0584,Anan Phromsri,Consumer,Central,Fashion,Backpack,1,0.0,990.0,286.02,Express
NC-00893,2023-01-17,CUST-0133,Napat Chaiyaporn,Consumer,Southern,Electronics,Smart Watch,1,0.0,3490.0,1508.71,Express
NC-00903,2023-01-20,CUST-0234,Anan Thongdee,Consumer,Central,Fashion,Jeans,1,0.05,750.5,205.45,Standard
NC-00277,2023-01-22,CUST-0592,Napat Chaiyaporn,Corporate,Central,Office Supplies,Office Chair,1,0.05,2745.5,1074.37,Standard
NC-00671,2023-01-23,CUST-0177,Boonmee Kittisak,Corporate,Central,Home & Living,Storage Box,1,0.2,280.0,48.22,Express
NC-03879,2023-01-24,CUST-0578,Nopporn Phromsri,Home Office,Bangkok & Vicinity,Beauty,Makeup Kit,3,0.2,2136.0,187.9,Same Day
NC-02450,2023-01-24,CUST-0306,Decha Ruangrit,Home Office,Central,Beauty,Hair Dryer,1,0.15,586.5,175.14,Standard
NC-03682,2023-01-26,CUST-0912,Nopporn Wongsa,Consumer,Bangkok & Vicinity,Home & Living,Bedding Set,1,0.0,1290.0,541.74,Same Day
NC-01785,2023-01-28,CUST-0925,Mali Boonmee,Consumer,Bangkok & Vicinity,Electronics,Laptop,1,0.0,18500.0,6452.53,Standard
NC-00616,2023-01-28,CUST-0887,Anan Thongdee,Corporate,Southern,Home & Living,Cookware Set,1,0.0,1890.0,506.9,Same Day
NC-01960,2023-01-28,CUST-0909,Aom Charoen,Consumer,Northern,Home & Living,Bedding Set,1,0.05,1225.5,444.96,Standard
NC-02042,2023-01-30,CUST-0329,Nopporn Kittisak,Consumer,Northern,Home & Living,Cookware Set,1,0.0,1890.0,797.69,Standard
NC-00183,2023-02-01,CUST-0766,Mali Saetang,Corporate,Bangkok & Vicinity,Beauty,Perfume,1,0.2,1192.0,217.83,Express
NC-02633,2023-02-01,CUST-0803,Napat Chaiyaporn,Corporate,Bangkok & Vicinity,Office Supplies,Desk Organizer,1,0.0,290.0,114.35,Standard
NC-02471,2023-02-02,CUST-0111,Suda Wongsa,Consumer,Northeastern,Office Supplies,Desk Organizer,2,0.0,522.0,171.45,Standard
NC-01310,2023-02-02,CUST-0915,Siri Charoen,Corporate,Bangkok & Vicinity,Office Supplies,Stapler,1,0.0,90.0,38.17,Express
NC-02406,2023-02-03,CUST-0444,Mali Charoen,Consumer,Central,Fashion,Sneakers,1,0.0,1590.0,664.45,Standard
NC-00621,2023-02-04,CUST-0249,Napat Srisuk,Home Office,Bangkok & Vicinity,Beauty,Makeup Kit,1,0.1,801.0,159.93,Standard
NC-02787,2023-02-04,CUST-0817,Somchai Saetang,Corporate,Central,Electronics,Smartphone,1,0.05,8455.0,2720.13,Express
NC-01375,2023-02-05,CUST-0433,Pim Wongsa,Corporate,Central,Fashion,Sunglasses,1,0.05,560.5,158.12,Standard
NC-03540,2023-02-06,CUST-0529,Somchai Sukjai,Consumer,Central,Office Supplies,Stapler,1,0.0,90.0,31.93,Standard
NC-01033,2023-02-06,CUST-0244,Theerapat Phromsri,Consumer,Northern,Office Supplies,Office Chair,1,0.15,2456.5,691.22,Standard
NC-03619,2023-02-07,CUST-0665,Nopporn Chaiyaporn,Consumer,Bangkok & Vicinity,Beauty,Hair Dryer,1,0.1,621.0,116.29,Express
NC-01577,2023-02-07,CUST-0555,Theerapat Ruangrit,Home Office,Northern,Fashion,Jeans,1,0.0,790.0,352.77,Express
